mRNA_case_submitter_id,clinical_case_submitter_id
TCGA-D9-A4Z6-06A-12R-A266-07,TCGA-D9-A6E9
TCGA-D9-A6E9-06A-12R-A311-07,TCGA-D9-A6EA
TCGA-D9-A6EA-06A-11R-A311-07,TCGA-D9-A6EC
TCGA-D9-A6EC-06A-11R-A311-07,TCGA-D9-A6EG
TCGA-D9-A6EG-06A-12R-A32P-07,TCGA-DA-A1HV
TCGA-DA-A1HV-06A-21R-A18S-07,TCGA-DA-A1HW
TCGA-DA-A1HW-06A-11R-A18U-07,TCGA-DA-A1HY
TCGA-DA-A1HY-06A-11R-A18T-07,TCGA-DA-A1I0
TCGA-DA-A1I0-06A-11R-A20F-07,TCGA-DA-A1I1
TCGA-DA-A1I1-06A-12R-A18U-07,TCGA-DA-A1I2
TCGA-DA-A1I2-06A-21R-A18U-07,TCGA-DA-A1I4
TCGA-DA-A1I4-06A-11R-A18U-07,TCGA-DA-A1I5
TCGA-DA-A1I5-06A-11R-A18T-07,TCGA-DA-A1I7
TCGA-DA-A1I7-06A-22R-A18S-07,TCGA-DA-A1I8
TCGA-DA-A1I8-06A-11R-A18T-07,TCGA-DA-A1IA
TCGA-DA-A1IA-06A-11R-A18S-07,TCGA-DA-A1IB
TCGA-DA-A1IB-06A-11R-A18S-07,TCGA-DA-A1IC
TCGA-DA-A1IC-06A-11R-A18S-07,TCGA-DA-A3F2
TCGA-DA-A3F2-06A-11R-A20F-07,TCGA-DA-A3F3
TCGA-DA-A3F3-06A-11R-A20F-07,TCGA-DA-A3F5
TCGA-DA-A3F5-06A-11R-A20F-07,TCGA-DA-A3F8
TCGA-DA-A3F8-06A-11R-A20F-07,TCGA-DA-A95V
TCGA-DA-A95V-06A-11R-A37K-07,TCGA-DA-A95W
TCGA-DA-A95W-06A-11R-A37K-07,TCGA-DA-A95X
TCGA-DA-A95X-06A-11R-A37K-07,TCGA-DA-A95Y
TCGA-DA-A95Y-06A-11R-A37K-07,TCGA-DA-A95Z
TCGA-DA-A95Z-06A-11R-A37K-07,TCGA-DA-A960
TCGA-DA-A960-01A-11R-A37K-07,TCGA-EB-A1NK
TCGA-EB-A1NK-01A-11R-A18T-07,TCGA-EB-A24C
TCGA-EB-A24C-01A-11R-A18T-07,TCGA-EB-A24D
TCGA-EB-A24D-01A-11R-A18T-07,TCGA-EB-A299
TCGA-EB-A299-01A-21R-A18U-07,TCGA-EB-A3HV
TCGA-EB-A3HV-01A-11R-A21D-07,TCGA-EB-A3XB
TCGA-EB-A3XB-01A-11R-A239-07,TCGA-EB-A3XC
TCGA-EB-A3XC-01A-11R-A239-07,TCGA-EB-A3XD
TCGA-EB-A3XD-01A-22R-A239-07,TCGA-EB-A3XE
TCGA-EB-A3XE-01A-12R-A239-07,TCGA-EB-A3XF
TCGA-EB-A3XF-01A-31R-A239-07,TCGA-EB-A3Y6
TCGA-EB-A3Y6-01A-21R-A239-07,TCGA-EB-A3Y7
TCGA-EB-A3Y7-01A-11R-A239-07,TCGA-EB-A41A
TCGA-EB-A41A-01A-11R-A24X-07,TCGA-EB-A41B
TCGA-EB-A41B-01A-11R-A24X-07,TCGA-EB-A42Y
TCGA-EB-A42Y-01A-12R-A24X-07,TCGA-EB-A42Z
TCGA-EB-A42Z-01A-12R-A24X-07,TCGA-EB-A430
TCGA-EB-A430-01A-11R-A24X-07,TCGA-EB-A431
TCGA-EB-A431-01A-11R-A266-07,TCGA-EB-A44N
TCGA-EB-A44N-01A-11R-A266-07,TCGA-EB-A44O
TCGA-EB-A44O-01A-11R-A266-07,TCGA-EB-A44P
TCGA-EB-A44P-01A-11R-A266-07,TCGA-EB-A44Q
TCGA-EB-A44Q-06A-11R-A266-07,TCGA-EB-A44R
